judge id,R_2fjJcJtgw37COZU,R_3erhyu7B5VGpoy6,R_24H5cvIZWGzWkKq,R_2YDNK7KHevvhgw5,R_1opPT8a3KAn00R1,R_NXBjKhy5XBpJK3n,R_1LHBqoBotwOK2Wm,R_3phDk9LzMpnNoFg,R_D1RTCEB1aQaJAJz,R_1gckYcGVSVA2ux7,R_3HOCkHN2U4E8sTj,R_1dgmDJmVorUGtcj,R_3O1FI6Brt9kzgGf,R_3m9wL3w6O7qfIQX,R_1OlXFynLt03cp6J,R_2y9g4o3BFFKloEW,R_3qSZmoeSpxwWTSh,R_2R8hsrEWhfei5r5,R_DAgZk4NHdSIMS9b,R_3lynYAtYwXFfzom,R_e9Z6B3JY1hw2ekN,R_spznLQvIsWINbxL,R_1LjkQBauyCRGmJb,R_3C32En8QiAZr7uZ,R_1LciRw7hFosUOJD,R_5sZLFtDdxQOucwR,R_u9Wn1htxWOGtbDX,R_1mWw6kCfGXdN1aJ,R_2z8ZBojCJYh9MJ4,R_2y7uE0ZIgha9xdL,R_2YX5zmGuVOkyo31,R_Os4UTbWSvpsM29X,R_1puMTvJRHoTkej6,R_3ME6Io0fRu5Lk3L,R_wWNPIWBPbtd63gB,R_3kiHkfnn5WTDdkI,R_31XFkqoNmBU60Cc,R_10vXXjempR6nZD0,R_3dLzxzNjMPDBo3Z,R_UuwQHFieSzz7Kal,R_1gbHpIeBwIpJ7Ro,R_1rN6i9cjsKZxDxx,R_eyAdxDWfG9d7rMh,R_3Kw6RI5fihFPb51,R_1pSUJmTCKVYFVAp,R_UgUJMv1EVu8aCNH
R_1kHYPQ4eYM6GL57,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
R_3D8eeW4g7GIDcZI,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
R_3JLzIuVlOVexBGt,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
R_1kOcQfsuIMo9k2u,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QykpZxmA0aT3d8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
R_3D60VjC4WTKYczG,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_VU7Lb4Fiqa8zGoN,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
R_3r2IXneTMK5n0Ci,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
R_2rQOdbpMke5JZ97,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
R_2WPeMAJGFEzzmgm,,,,,,,0.0,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_qVmiVRWiX1daU5r,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
R_2cB1mU5QVJoGmLb,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
R_3oBHY6bmh6ZRCQx,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_OIKjhEVOmcbjWq5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
R_2qCVLHWhdCvDkPY,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sub3,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
R_syZDasKuSfQMQ4F,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8HrvMsXFeqqdgtj,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
R_2YtBdyWtz1xKRtc,,,,,,,,,,,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fV7Jg4bBLqspgB,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_28AHV79JuU0zwUW,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
R_3hg1jtVRAMSrUNi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_10TS06cUjvdUIrF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
R_2xWXAwQWEf8psQg,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
R_3oZSvR1j3nBNAH8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
R_2WMrQs41Rq862L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
R_20TzKuKa7BsZJXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1gSZlAKc7NeeayG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Sf2wDr21oqMYhv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_294wtVRlj5Vvtkq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2f96xBWeHgak4I5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2PbwYq9uhrRSRwT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_247ydTZ4bAgkLXO,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3CTad08gKc24Lb6,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3lyjq7rnbqKG0LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1JWIGchZsitsoIY,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
sub1,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pEwVDWQkquWmHZ,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
R_1IGjW2meGLxVpNx,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R_OdQJEo237GnCSOt,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R_1Pcwjkecr8aAIgo,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,
R_2QEZB30H8QgOBtg,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
R_1H2B2wF9Ujo4e7Y,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,
R_2RNSrbXChtFZiiS,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
R_3qerQuseAjHl2Yb,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
R_UyVLN7wrYhrMztL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_25G9AmJqQbBghyO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1iqHhSuSHdu0SEC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,
R_SBEo5roV8QkqONX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,
R_1C2ryxvmhXBTISf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,
R_3psrnSpmgospKfP,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
R_1mXJsgf0D1liKjt,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
R_2dXh5ktIUusLpW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
R_3t67LHtEL090nwF,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
R_2EgSQlC5qobywXr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FETrLE2PmkRdk2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,
R_1C7s8AwuPbSwnHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
R_21GnfBZ5QXIx75W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
R_1fZURRehZWBnT7x,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1NlZzLuMAi0lNSW,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_pEhaU3zHCWpiqtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
R_O3H3N0yWcUcr15L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
R_2xLiXZz1uMnejOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
R_2TBGCsAXIxLY2rf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
R_1F4WchotMq6BFxg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
R_DTXevMv7I4fKgHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
R_3G9cRCmCl2VRmGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
sub2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,
R_11ZpuxAFPqzZ9hZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
R_1lioJ9XhWjTLdBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
R_Xjtp4doKGbcvrwZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
R_3fViveG8nkR7BfN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
R_1rBWSpDLIN64U3y,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,
R_3DqLozMG3gJPs98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Y086uFUc9phbBVn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
R_1qevB7zA7EbES4O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
R_Zw0948isZQPDPQR,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
R_2dmQS4dtNsX2Wsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2xxTyaVDFnDzpjt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,
R_2zILlra0PPGDich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,
R_1GKByJF21YLjuqR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1my3e4wN6pbXyBd,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_22WwaiNAJLMzNSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2adDNU27ZFNERxf,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1DwC72wHvEepo2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_uy8BevuRxhBX1pD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_b9oVefeOBElXgGJ,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1i5wI6uoVUMnj43,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2t51HNRRbNVGcA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_73Wog6lgZI571uN,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3QQzROtDVjtNzJ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1rANHDWIJ6SmhXO,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
R_3h4Pu7PsHMWGw3q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
